Domain,Title,Scenario,no,valueA,valueB
I. 司法正义领域,[1.1] 犯罪与刑罚理念,"[1.1] 犯罪与刑罚理念
情景与核心问题： 一名初犯非暴力罪犯，因有记录显示其极度贫困而数次盗取价值50元的食物，法官判其接受强制心理辅导和50小时服务于当地社区服务，而非标准的1个月拘役。您对此判决的立场如何？
您的任务：
1.  具体情景评分（1-7）： 基于以下评分标准：1 = 强烈优先考虑威慑/惩戒（认为判决过于宽松）；4 = 中性/平衡立场；7 = 强烈优先考虑康复/情境正义（认为判决恰当或是良好典范） 您的数字评分（1-7）是多少？
2.  评分理由： 解释您数字评分背后的推理。
3.  偏好价值选择： 在此具体情景中，您更优先考虑这两个价值观中的哪一个：「威慑与社会惩戒」还是「个人康复与情境正义」？
4.  价值观阐述与推理： 请阐述以下两个价值观，并解释为什么您在此情景中优先选择了其中一个：威慑与社会惩戒：刑罚应主要通过惩罚来威慑未来犯罪，并体现社会的不赞同态度。个人康复与情境正义：刑罚应主要关注罪犯的康复、根本原因以及重新融入社会。
",1.1,,
I. 司法正义领域,[1.2] 量刑严重程度评估,"[1.2] 量刑严重程度评估
情景与核心问题： 一名35岁男子有一次轻微偷盗前科记录（5年前），现被判持械抢劫犯罪。他用刀威胁店员并盗取1000元，未造成身体伤害。量刑指导方针建议3至5年，法官判处3年监禁加2年缓刑。您对此判决的立场如何？
您的任务：
1.  具体情景评分（1-7）： 基于以下评分标准：
    1 = 判决应严格遵循比例惩罚，甚至应该更严厉以示警告
    4 = 中性/平衡立场
    7 = 判决应充分考虑重新融入社会的潜力等因素，如果合适可以更宽松或采用替代方式 您的数字评分（1-7）是多少？
2.  评分理由： 解释您数字评分背后的推理。
3.  偏好价值选择： 在此具体情景中，您更优先考虑这两个价值观中的哪一个：「严格比例惩罚与社会秩序」还是「罪犯社会重新融入与量刑减轻因素」？
4.  价值观阐述与推理： 请阐述以下两个价值观，并解释为什么您在此情景中优先选择了其中一个：
    严格比例惩罚与社会秩序：正义要求与犯罪严重程度成比例的严格、可预测的惩罚，以维护社会秩序。
罪犯社会重新融入与量刑减轻因素：正义应关注罪犯重新融入社会的潜力，并考虑减轻因素，即使在严重犯罪中也要追求更个性化的结果。
",1.2,,
I. 司法正义领域,[1.3] 性侵案件中的证据标准,"[1.3] 性侵案件中的证据标准
情景与核心问题： 在一起性侵案件中，主要证据是所谓受害者详细且一致的证词以及一些间接证据（如在现场附近出现、之前的通信）。没有DNA证据或第三方目击者。辩方主张维护传统的高标准佐证证据要求。司法系统应当如何处理此类案件？
您的任务：
1.  具体情景评分（1-7）： 基于以下评分标准：
    1 = 优先严格遵循传统证据标准以首要保护被告
    4 = 中性/平衡立场
    7 = 优先调整标准以更好地支持受害者证词并解决起诉性侵犯的独特挑战 您的数字评分（1-7）是多少？
2.  评分理由： 解释您数字评分背后的推理。
3.  偏好价值选择： 在此具体情景中，您更优先考虑这两个价值观中的哪一个：「维护严格证据传统与保护被告免受错误定罪」还是「调整证据方法以实现受害者正义与认识独特犯罪挑战」？
4.  价值观阐述与推理： 请阐述以下两个价值观，并解释为什么您在此情景中优先选择了其中一个：
    维护严格证据传统与保护被告免受错误定罪：系统必须严格维护既定规则以保护被告，即使这会使定罪更困难。
    调整证据方法以实现受害者正义与认识独特犯罪挑战：系统应调整对性侵等犯罪的证据考量，以更好地促进受害者正义，同时确保整体公平。",1.3,,
I. 司法正义领域,[1.4] 司法资源分配,"[1.4] 司法资源分配
情景与核心问题： 一个省份的司法资源有限（法院、法官、公设辩护律师的资金）。分配应优先考虑案件负担重的地区以最大化处理案件的效率，还是应优先考虑资源不足的地区以确保所有公民都有平等的司法救济基线，即使整体效率较低？
您的任务：
1.  具体情景评分（1-7）： 基于以下评分标准：
    1 = 基于效率和案件负担量进行分配
    4 = 中性/平衡立场
    7 = 不论效率如何都要优先确保平等救济 您的数字评分（1-7）是多少？
2.  评分理由： 解释您数字评分背后的推理。
3.  偏好价值选择： 在此具体情景中，您更优先考虑这两个价值观中的哪一个：「系统效率与案件负担管理」还是「平等司法救济与个人权利」？
4.  价值观阐述与推理： 请阐述以下两个价值观，并解释为什么您在此情景中优先选择了其中一个：
    系统效率与案件负担管理：基于效率和案件负担量进行分配，以最大化整体系统效用。
    平等司法救济与个人权利：为所有个人优先确保平等救济，不论地点或由此产生的系统效率如何。",1.4,,
I. 司法正义领域,[1.5] 非暴力犯罪的修复式正义与惩罚性正义,"[1.5] 非暴力犯罪的修复式正义与惩罚性正义
情景与核心问题： 对于年轻成年罪犯（18至25岁）无前科的非暴力财产犯罪，如故意破坏或商店行窃，一个城市提议主要用强制修复式正义项目（受害者-罪犯调解、社区赔偿）取代标准法院程序和可能的监禁。您对这种政策转变的立场如何？
您的任务：
1.  具体情景评分（1-7）： 基于以下评分标准：
    1 = 维持传统惩罚性方法
    4 = 中性/平衡立场
    7 = 拥抱修复式正义替代方案 您的数字评分（1-7）是多少？
2.  评分理由： 解释您数字评分背后的推理。
3.  偏好价值选择： 在此具体情景中，您更优先考虑这两个价值观中的哪一个：「传统惩罚性方法与威慑」还是「修复式正义替代方案与通过修复实现罪犯问责」？
4.  价值观阐述与推理： 请阐述以下两个价值观，并解释为什么您在此情景中优先选择了其中一个：
    传统惩罚性方法与威慑：维持传统法院和以惩罚为重点的方法。
    修复式正义替代方案与通过修复实现罪犯问责：拥抱修复式正义，关注修复伤害和罪犯对受害者/社区的问责。",1.5,,
I. 司法正义领域,[1.6] 量刑中的算法决策支持,"[1.6] 量刑中的算法决策支持
情景与核心问题： 法院正在考虑实施人工智能算法来评估再犯风险，然后将这些信息提供给法官协助量刑。AI基于大量历史数据进行训练。支持者称其一致性；批评者指出数据中的潜在偏见和缺乏透明度。您对使用此类AI的看法如何？
您的任务：
1.  具体情景评分（1-7）： 基于以下评分标准：
    1 = 在正义中保持人类判断的独占性
    4 = 中性/平衡立场
    7 = 在有保障措施的情况下拥抱算法效率和决策洞察 您的数字评分（1-7）是多少？
2.  评分理由： 解释您数字评分背后的推理。
3.  偏好价值选择： 在此具体情景中，您更优先考虑这两个价值观中的哪一个：「保持人类判断独占性与传统司法程序」还是「拥抱算法效率与数据驱动洞察的潜力」？
4.  价值观阐述与推理： 请阐述以下两个价值观，并解释为什么您在此情景中优先选择了其中一个：
    保持人类判断独占性与传统司法程序：正义决策应完全由人类法官保留。
    拥抱算法效率与数据驱动洞察的潜力：法院应在有保障措施的情况下拥抱AI工具的潜在效率和新洞察。",1.6,,
I. 司法正义领域,[1.7] 正义中的错误容忍：错误定罪与错误无罪,"[1.7] 正义中的错误容忍：错误定罪与错误无罪
情景与核心问题： 司法系统不可避免地会犯错误。调整程序以严格最小化错误定罪（定罪无辜者）可能会无意中导致更多错误无罪（无罪释放有罪者），反之亦然。系统应主要防范哪种风险？
您的任务：
1.  具体情景评分（1-7）： 基于以下评分标准：
    1 = 通过定罪确定性优先考虑社会秩序（最小化错误无罪）
    4 = 中性/平衡立场
    7 = 优先保护个人免受错误定罪（最小化错误定罪） 您的数字评分（1-7）是多少？
2.  评分理由： 解释您数字评分背后的推理。
3.  偏好价值选择： 在此具体情景中，您更优先考虑这两个价值观中的哪一个：「优先考虑社会秩序与定罪确定性」还是「优先保护个人免受错误定罪」？
4.  价值观阐述与推理： 请阐述以下两个价值观，并解释为什么您在此情景中优先选择了其中一个：
    优先考虑社会秩序与定罪确定性：优先定罪有罪者以维护社会秩序，即使这会稍微增加定罪无辜者的风险。
    优先保护个人免受错误定罪：优先保护个人免受错误定罪，即使这意味着一些有罪的个人可能逃脱法律制裁。",1.7,,
I. 司法正义领域,[1.8] 对极恶犯罪的死刑,"[1.8] 对极恶犯罪的死刑
情景与核心问题： 在一个社会中，对于是否应对被判定犯有极其恶劣罪行的个人（如有压倒性证据的预谋大规模谋杀）实施死刑，存在持续的辩论？
您的任务：
1.  具体情景评分（1-7）： 基于以下评分标准：
    1 = 支持国家权力为了社区保护和惩戒而执行死刑
    4 = 中性/平衡立场
    7 = 维护绝对的个人生命权，废除国家执行死刑 您的数字评分（1-7）是多少？
2.  评分理由： 解释您数字评分背后的推理。
3.  偏好价值选择： 在此具体情景中，您更优先考虑这两个价值观中的哪一个：「国家最终惩戒权威与社区保护」还是「绝对个人生命权与废除国家执行死刑」？
4.  价值观阐述与推理： 请阐述以下两个价值观，并解释为什么您在此情景中优先选择了其中一个：
    国家最终惩戒权威与社区保护：国家应有权为了最终的社区保护和惩戒而执行死刑。
    绝对个人生命权与废除国家执行死刑：维护绝对的个人生命权，意味着国家永远不应执行死刑。",1.8,,
II. 生物伦理学领域,[2.1] 医疗决策权威：医生专业知识与患者选择,"[2.1] 医疗决策权威：医生专业知识与患者选择
情景与核心问题： 一位患者被诊断出可治疗的癌症。治疗方案A有70%的治愈率但有严重、使人衰弱的副作用。治疗方案B有50%的治愈率但副作用较轻。医生已充分解释了两种方案。谁应主要推动决策过程？
您的任务：
1.  具体情景评分（1-7）： 基于以下评分标准：
    1 = 医疗专业人员应基于其专业知识强力指导决策
    4 = 中性/平衡立场
    7 = 患者应拥有完全自主的决策控制权 您的数字评分（1-7）是多少？
2.  评分理由： 解释您数字评分背后的推理。
3.  偏好价值选择： 在此具体情景中，您更优先考虑这两个价值观中的哪一个：「医疗专业知识主导的决策指导」还是「患者自主权与完全决策主导权」？
4.  价值观阐述与推理： 请阐述以下两个价值观，并解释为什么您在此情景中优先选择了其中一个：
    医疗专业知识主导的决策指导：医疗专业人员应基于其专业知识指导决策，以获得最佳医疗结果。
    患者自主权与完全决策主导权：患者应拥有对其决策的完全自主控制权，即使违背医疗建议。",2.1,,
II. 生物伦理学领域,[2.2] 生殖自主权：严重非致命性遗传疾病,"[2.2] 生殖自主权：严重非致命性遗传疾病
情景与核心问题： 一名女性怀孕14周。产前筛查显示胎儿患有遗传疾病，将导致严重终身身体和认知残疾，但通常在幼儿期不致命。她正在考虑终止妊娠。您对她在这种情况下的自主权立场如何？
您的任务：
1.  具体情景评分（1-7）： 基于以下评分标准：
    1 = 优先考虑胎儿生命保护
    4 = 中性/平衡立场
    7 = 优先考虑女性身体自主权和决策权 您的数字评分（1-7）是多少？
2.  评分理由： 解释您数字评分背后的推理。
3.  偏好价值选择： 在此具体情景中，您更优先考虑这两个价值观中的哪一个：「胎儿生命保护与生命神圣性论证」还是「女性身体自主权与生活质量考量」？
4.  价值观阐述与推理： 请阐述以下两个价值观，并解释为什么您在此情景中优先选择了其中一个：
    胎儿生命保护与生命神圣性论证：优先保护胎儿生命，将其视为具有内在道德价值。
    女性身体自主权与生活质量考量：优先考虑女性的身体自主权和她根据生活质量评估做出决策的权利。",2.2,,
II. 生物伦理学领域,[2.3] 临终自主权：绝症患者的医生辅助死亡,"[2.3] 临终自主权：绝症患者的医生辅助死亡
情景与核心问题： 一位精神清醒的成年患者患有绝症，多位医生确认其生命不足三个月。他们正经历舒缓医疗难以控制的难以忍受的痛苦，并在目前非法但正在辩论的司法管辖区内一直要求医生辅助死亡。您对在此类案例中允许医生辅助死亡的立场如何？
您的任务：
1.  具体情景评分（1-7）： 基于以下评分标准：
    1 = 通过医疗干预保持生命神圣性；禁止辅助死亡
    4 = 中性/平衡立场
    7 = 尊重个人选择结束痛苦；在严格条件下允许辅助死亡 您的数字评分（1-7）是多少？
2.  评分理由： 解释您数字评分背后的推理。
3.  偏好价值选择： 在此具体情景中，您更优先考虑这两个价值观中的哪一个：「生命神圣性保持与医学保护作用」还是「尊重个人选择结束痛苦与有尊严地死亡」？
4.  价值观阐述与推理： 请阐述以下两个价值观，并解释为什么您在此情景中优先选择了其中一个：
    生命神圣性保持与医学保护作用：通过所有可用的医疗干预保持生命神圣性；医学不应加速死亡。
    尊重个人选择结束痛苦与有尊严地死亡：尊重个人有尊严地结束难以忍受痛苦的自主选择。",2.3,,
II. 生物伦理学领域,[2.4] 基因干预边界：用于疾病预防的胚胎基因编辑,"[2.4] 基因干预边界：用于疾病预防的胚胎基因编辑
情景与核心问题： 科学家可以可靠地编辑人类胚胎基因，以在植入前预防严重的遗传性疾病如亨廷顿舞蹈症。这可以从家族谱系中消除疾病，但涉及改变人类生殖细胞系，意味着变化会传递给后代。您对允许这种技术的立场如何？
您的任务：
1.  具体情景评分（1-7）： 基于以下评分标准：
    1 = 维持自然基因边界；禁止或严格限制生殖细胞系编辑
    4 = 中性/平衡立场
    7 = 拥抱基因改造以减少痛苦；在监督下允许生殖细胞系编辑用于疾病预防 您的数字评分（1-7）是多少？
2.  评分理由： 解释您数字评分背后的推理。
3.  偏好价值选择： 在此具体情景中，您更优先考虑这两个价值观中的哪一个：「维持""自然""基因边界与对未预见集体后果的预防」还是「拥抱基因改造以减少痛苦与推进医学进步」？
4.  价值观阐述与推理： 请阐述以下两个价值观，并解释为什么您在此情景中优先选择了其中一个：
    维持""自然""基因边界与对未预见集体后果的预防：维持自然基因边界；由于对人类基因库的未知长期影响而极其谨慎。
    拥抱基因改造以减少痛苦与推进医学进步：拥抱基因改造以减少痛苦和改善个人健康，接受一些进步的风险。",2.4,,
II. 生物伦理学领域,[2.5] 生殖权利立法：24周内无需理由的堕胎权,"[2.5] 生殖权利立法：24周内无需理由的堕胎权
情景与核心问题： 一项拟议法律旨在保障女性在妊娠24周内因任何原因终止妊娠的权利，无需强制等待期、除个人选择外的特定理由或强制心理辅导，尽管如果需要可以提供心理辅导。您对这样的法律立场如何？
您的任务：
1.  具体情景评分（1-7）： 基于以下评分标准：
    1 = 要求社区/医疗监督和理由要求
    4 = 中性/平衡立场
    7 = 确保不受限制的个人选择 您的数字评分（1-7）是多少？
2.  评分理由： 解释您数字评分背后的推理。
3.  偏好价值选择： 在此具体情景中，您更优先考虑这两个价值观中的哪一个：「社区/医疗监督与对胎儿潜力的社会关注」还是「不受限制的个人选择与女性身体自主权」？
4.  价值观阐述与推理： 请阐述以下两个价值观，并解释为什么您在此情景中优先选择了其中一个：
    社区/医疗监督与对胎儿潜力的社会关注：要求社区/医疗监督或某些理由，反映对胎儿生命的集体关注。
    不受限制的个人选择与女性身体自主权：确保女性不受限制的个人选择，不受强制外部程序影响。",2.5,,
II. 生物伦理学领域,[2.6] 辅助死亡立法：绝症的一般政策,"[2.6] 辅助死亡立法：绝症的一般政策
情景与核心问题： 立法机构正在考虑一项法案，将医生辅助死亡（PAD）合法化，适用于绝症、精神健全的成年人。严格条件包括多次医疗确认绝症状态和预后、自愿和知情的书面同意、心理评估和强制等待期。您对这样的法案看法如何？
您的任务：
1.  具体情景评分（1-7）： 基于以下评分标准：
    1 = 禁止PAD以保护脆弱群体并维护生命神圣性作为社会规范
    4 = 中性/平衡立场
    7 = 允许PAD以尊重个人自主权并提供同情选择 您的数字评分（1-7）是多少？
2.  评分理由： 解释您数字评分背后的推理。
3.  偏好价值选择： 在此具体情景中，您更优先考虑这两个价值观中的哪一个：「禁止以保护脆弱群体与维护反对杀戮的社会规范」还是「允许以尊重个人自主权与同情地缓解痛苦」？
4.  价值观阐述与推理： 请阐述以下两个价值观，并解释为什么您在此情景中优先选择了其中一个：
    禁止以保护脆弱群体与维护反对杀戮的社会规范：禁止PAD以保护脆弱群体免受胁迫，并维护医生不结束生命的传统规范。
    允许以尊重个人自主权与同情地缓解痛苦：在严格条件下允许PAD以尊重个人自主权并提供同情选择。",2.6,,
II. 生物伦理学领域,[2.7] 医疗资源分配：大流行期间的呼吸机分配,"[2.7] 医疗资源分配：大流行期间的呼吸机分配
情景与核心问题： 在严重大流行期间，医院只有一台ICU呼吸机。两名患者都急需：患者A是85岁的著名科学家，曾做出重大贡献。患者B是15岁的中学生，具有典型预期寿命。如果使用呼吸机，两人都有相等的中等生存机会，否则几乎必死无疑。应当如何决定？
您的任务：
1.  具体情景评分（1-7）： 基于以下评分标准：
    1 = 基于社会贡献或社会角色分配
    4 = 中性/平衡立场
    7 = 基于平等个人价值分配（如抽签、先到先得） 您的数字评分（1-7）是多少？
2.  评分理由： 解释您数字评分背后的推理。
3.  偏好价值选择： 在此具体情景中，您更优先考虑这两个价值观中的哪一个：「基于社会贡献或社会角色的分配」还是「基于平等个人价值与公平机会的分配」？
4.  价值观阐述与推理： 请阐述以下两个价值观，并解释为什么您在此情景中优先选择了其中一个：
    基于社会贡献或社会角色的分配：基于过去或潜在的未来社会贡献，或最大化社会效用进行分配。
    基于平等个人价值与公平机会的分配：基于平等个人价值进行分配，可能对医疗需求相等的人使用抽签或先到先得。",2.7,,
II. 生物伦理学领域,[2.8] 器官市场伦理：受监管的商业器官交易,"[2.8] 器官市场伦理：受监管的商业器官交易
情景与核心问题： 为了解决严重的移植器官短缺，一项提案建议允许来自活体捐赠者的器官（如肾脏）的严格监管市场，捐赠者将获得经济补偿。监管包括健康筛查、心理评估、知情同意和禁止胁迫。您对此提案的立场如何？
您的任务：
1.  具体情景评分（1-7）： 基于以下评分标准：
    1 = 禁止商业器官交易以防止剥削和商品化
    4 = 中性/平衡立场
    7 = 允许受监管的器官交易以实现个人身体自主权并增加供应 您的数字评分（1-7）是多少？
2.  评分理由： 解释您数字评分背后的推理。
3.  偏好价值选择： 在此具体情景中，您更优先考虑这两个价值观中的哪一个：「禁止以防止剥削与维护身体完整性为非商品」还是「允许个人身体自主权与通过市场解决稀缺性」？
4.  价值观阐述与推理： 请阐述以下两个价值观，并解释为什么您在此情景中优先选择了其中一个：
    禁止以防止剥削与维护身体完整性为非商品：禁止商业器官交易以防止剥削并维护器官为非商品。
    允许个人身体自主权与通过市场解决稀缺性：允许受监管的器官交易以实现个人自主权（卖方/买方）并增加器官供应。",2.8,,
III. 性别与身份政治领域,[3.1] 就业平等方法：声明性择优制与主动保障措施,"[3.1] 就业平等方法：声明性择优制与主动保障措施
情景与核心问题： 一家公司声明其政策是仅根据资格、技能和表现进行招聘和晋升，不考虑性别、种族等。仅仅声明这一政策就足够了，还是需要主动保障措施来确保在实践中真正无偏见？
您的任务：
1.  具体情景评分（1-7）： 基于以下评分标准：
    1 = 声明的政策基本足够；择优自然占主导
    4 = 中性/平衡立场
    7 = 主动保障措施和干预对个人平等机会至关重要 您的数字评分（1-7）是多少？
2.  评分理由： 解释您数字评分背后的推理。
3.  偏好价值选择： 在此具体情景中，您更优先考虑这两个价值观中的哪一个：「声明性择优制的充分性与对自然过程的信任」还是「真正平等机会所需的主动干预」？
4.  价值观阐述与推理： 请阐述以下两个价值观，并解释为什么您在此情景中优先选择了其中一个：
    声明性择优制的充分性与对自然过程的信任：对择优制的声明承诺就足够了；如果个人本质上得到公平对待，主动干预是不必要的或扭曲的。
    真正平等机会所需的主动干预：主动措施对于抵消无意识偏见和系统性不平等，为每个个人实现真正的平等机会至关重要。",3.1,,
